Scala-Nr.;R;G;B;HBW;RAL
21.09.06;235;217;202;73,7;
21.09.09;225;204;188;65,5;
21.09.12;213;185;167;54,3;
21.09.15;199;167;151;44,4;
21.09.18;174;138;121;31,0;
21.09.21;151;115;101;21,8;
21.09.22;137;101;89;17,7;
21.09.24;121;82;69;12,4;RAL 8002
21.09.27;98;59;53;7,7;RAL 8015
21.12.06;252;219;199;77,1;
21.12.09;236;201;182;65,5;
21.12.12;222;180;158;53,4;
21.12.15;211;160;135;43,2;
21.12.16;199;148;125;38,0;
21.12.18;186;131;107;30,3;
21.12.21;170;107;85;21,8;
21.12.24;140;79;60;13,6;RAL 8004
21.12.27;111;65;54;9,4;
21.12.30;103;59;54;8,1;RAL 8012
21.15.12;236;178;146;55,4;
21.15.15;233;158;125;45,6;
21.15.16;217;144;111;39,3;
21.15.18;203;125;93;29,5;
21.15.21;175;96;68;19,8;
21.15.24;142;78;59;13,7;
21.15.27;129;65;48;10,6;
21.16.18;210;119;80;31,1;
21.16.21;198;108;75;25,8;
21.16.24;182;85;49;20,0;
21.18.12;251;186;153;60,2;
21.18.15;253;168;118;52,5;
21.18.16;249;150;94;46,0;
21.18.18;238;121;51;35,9;RAL 2003
21.18.21;229;109;47;30,6;RAL 2008
21.18.24;202;97;53;23,2;RAL 2010
21.ME.01;142;98;80;~ 20;
24.06.03;243;232;227;85,5;
24.06.06;232;217;207;73,5;
24.06.09;225;206;198;66,8;
24.06.12;210;191;183;57,2;
24.06.15;190;170;164;45,2;
24.06.18;164;142;135;31,3;
24.06.19;146;123;117;24,3;
24.06.22;132;110;105;19,5;
24.06.24;120;96;91;15,2;
24.06.27;96;73;74;9,7;
24.06.30;71;50;52;5,4;RAL 3007
24.09.09;230;201;190;65,4;
24.09.12;220;184;170;55,0;
24.09.15;205;166;153;45,3;
24.09.16;193;154;142;39,7;
24.09.18;181;139;126;32,3;
24.09.21;157;125;115;25,0;
24.09.24;125;86;80;13,8;
24.09.27;99;64;64;8,8;
24.09.30;81;54;48;6,7;RAL 8016
24.12.03;244;226;215;80,8;
24.12.06;250;217;203;76,7;
24.12.09;250;198;178;66,1;
24.12.12;232;181;162;56,8;
24.12.15;219;161;143;45,2;
24.12.16;208;150;130;40,5;
24.12.18;193;134;113;32,2;RAL 3012
24.12.21;167;108;93;21,5;
24.13.18;201;134;116;34,2;
24.13.21;180;109;91;24,4;
24.13.24;156;90;80;17,5;
24.15.12;246;178;154;56,0;
24.15.15;236;157;131;45,9;
24.15.18;209;123;103;30,8;
24.15.21;201;104;86;26,0;RAL 3022
24.15.24;148;77;62;14,2;
24.15.27;111;62;58;8,5;RAL 3009
24.15.30;89;50;51;6,6;
24.18.15;240;145;116;43,7;
24.18.18;218;121;99;32,9;
24.18.21;207;102;81;25,6;RAL 2012
24.18.23;186;93;74;21,3;
24.18.24;157;72;59;13,7;
24.18.27;139;73;63;12,3;
24.18.30;110;45;41;8,0;
24.21.15;233;103;66;29,6;
24.21.18;219;86;33;24,7;RAL 2004
24.21.21;212;82;18;23,9;RAL 2009
24.21.24;182;80;50;17,8;RAL 2001
24.24.21;209;75;42;20,9;
24.24.24;169;67;53;14,3;
27.09.03;237;219;211;75,6;
27.09.06;240;220;213;77,9;
27.09.09;229;204;199;66,4;
27.09.12;218;190;187;57,8;
27.09.15;200;168;165;45,7;
27.09.18;196;157;148;40,3;
27.09.19;181;139;128;33,2;
27.09.21;172;123;109;26,1;
27.09.23;148;104;97;19,7;
27.09.24;130;85;82;13,9;
27.09.27;114;64;67;9,2;
27.09.30;94;45;51;6,7;RAL 3005
27.09.33;67;37;42;5,1;
27.12.06;246;219;212;77,0;
27.12.09;235;201;194;65,8;
27.12.12;228;188;182;58,2;
27.12.15;215;164;156;46,1;
27.12.18;194;130;123;31,6;
27.12.19;185;126;116;29,3;
27.12.21;177;118;105;25,2;
27.12.23;160;100;95;20,3;
27.12.24;137;75;72;13,2;
27.12.27;123;58;60;9,4;
27.12.30;122;52;53;8,2;RAL 3011
27.13.18;204;134;124;34,7;
27.13.21;179;110;101;24,4;
27.13.24;169;94;88;19,7;
27.15.06;253;211;204;73,9;
27.15.09;251;195;186;65,4;
27.15.12;243;176;167;55,1;
27.15.15;228;164;154;47,6;
27.15.18;207;120;109;30,3;
27.15.21;179;98;91;21,0;
27.15.24;157;70;65;13,7;
27.18.15;239;151;137;44,7;
27.18.18;222;115;102;30,7;
27.18.21;188;88;81;20,3;
27.18.24;164;69;61;14,2;RAL 3016
27.18.27;149;54;49;11,4;RAL 3013
27.18.30;130;41;47;8,9;RAL 3003
27.21.18;228;109;100;30,7;
27.21.21;186;61;47;16,7;RAL 2002
27.21.24;179;54;57;14,4;
27.21.27;151;45;48;11,2;RAL 3002
